                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86227,                  1.258,                 2.5082,                0.93969,                0.94381,                0.97682,                0.85039,                0.58441,                0.47916,                 2.2456,              0.0086536,              0.0086536,              0.0086536
                     36,                0.85723,                 1.2389,                 2.4918,                0.94787,                0.93935,                0.97759,                0.84394,                0.58426,                  0.484,                 2.2231,               0.008614,               0.008614,               0.008614
                     37,                0.84872,                 1.2213,                 2.4817,                0.95326,                0.94283,                0.98117,                 0.8475,                0.57335,                0.47094,                 2.2306,              0.0085744,              0.0085744,              0.0085744
                     38,                0.84823,                 1.2013,                 2.4771,                0.95829,                0.94335,                0.98041,                0.84576,                0.57523,                0.46236,                 2.2276,              0.0085348,              0.0085348,              0.0085348
                     39,                0.84151,                 1.1825,                 2.4656,                0.96436,                0.93591,                0.98043,                 0.8502,                0.57719,                0.46372,                 2.2327,              0.0084952,              0.0084952,              0.0084952
                     40,                 0.8454,                 1.2011,                 2.4709,                0.96205,                0.95043,                0.98575,                0.85705,                0.56365,                0.44118,                  2.202,              0.0084556,              0.0084556,              0.0084556
                     41,                0.83933,                 1.1947,                  2.476,                0.94808,                0.95667,                0.98411,                0.86126,                0.56839,                 0.4388,                 2.1922,               0.008416,               0.008416,               0.008416
                     42,                0.83918,                 1.1765,                 2.4638,                0.96902,                0.94101,                0.98149,                0.85598,                0.57449,                0.45223,                 2.2022,              0.0083764,              0.0083764,              0.0083764
                     43,                0.83136,                 1.1659,                 2.4417,                0.96231,                0.95268,                0.98159,                0.85962,                0.56235,                0.45431,                 2.1808,              0.0083368,              0.0083368,              0.0083368
                     44,                0.83005,                 1.1536,                 2.4325,                0.96023,                0.95012,                0.98463,                0.85944,                0.56432,                0.43097,                 2.1958,              0.0082972,              0.0082972,              0.0082972
                     45,                 0.8268,                 1.1446,                 2.4391,                 0.9556,                0.95796,                 0.9831,                 0.8524,                0.57379,                0.42337,                 2.1907,              0.0082576,              0.0082576,              0.0082576
