                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4048,                 3.2067,                 1.8166,                0.59872,                0.07955,                0.14883,                0.08065,                 1.7057,                 4.0618,                  2.135,             0.00022091,             0.00022091,             0.00022091
                     36,                 1.3641,                 3.1732,                 1.7836,                0.75713,                0.02206,                0.15297,                0.09147,                 1.7073,                 3.8729,                 2.1258,             0.00021762,             0.00021762,             0.00021762
                     37,                 1.4031,                 3.1701,                 1.7926,                 0.4088,                0.14919,                0.12666,                0.07302,                 1.7862,                 3.8323,                 2.1912,             0.00021432,             0.00021432,             0.00021432
                     38,                 1.3648,                  3.177,                 1.7815,                 0.6572,                0.05417,                0.12845,                0.07752,                 1.6968,                 3.8428,                 2.0625,             0.00021102,             0.00021102,             0.00021102
                     39,                 1.3546,                 3.1412,                 1.7689,                0.57391,                0.07955,                0.15076,                0.08881,                 1.6645,                  3.816,                 2.0819,             0.00020773,             0.00020773,             0.00020773
                     40,                 1.3659,                 3.1474,                 1.7628,                0.53226,                0.08245,                0.15683,                0.09665,                 1.6892,                 3.9009,                 2.0957,             0.00020443,             0.00020443,             0.00020443
                     41,                  1.346,                 3.1124,                 1.7413,                0.16428,                0.25614,                0.13003,                0.07995,                 1.6773,                 3.7072,                 2.0867,             0.00020113,             0.00020113,             0.00020113
                     42,                 1.3486,                 3.0979,                 1.7406,                0.35164,                 0.0997,                0.14147,                 0.0841,                 1.6716,                 3.7747,                 2.0406,             0.00019784,             0.00019784,             0.00019784
                     43,                 1.3496,                  3.075,                 1.7443,                0.17943,                0.39015,                0.14115,                0.08836,                 1.6822,                 3.7026,                  2.094,             0.00019454,             0.00019454,             0.00019454
                     44,                 1.2959,                 3.0585,                 1.6914,                0.54751,                0.13284,                0.15634,                0.09019,                 1.6545,                  3.741,                 2.0412,             0.00019124,             0.00019124,             0.00019124
